#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America,,,,,,,
,,Asia,,"159,048,701","+123,013","1,435,349",+164,"153,097,659","+168,548","4,515,693","10,565",,,,,,Asia,,,,,,,
,,South America,,"58,506,075",+396,"1,301,112",,"55,484,654",+497,"1,720,309","10,530",,,,,,South America,,,,,,,
,,Europe,,"198,869,376","+5,594","1,848,000",+87,"190,495,118","+78,092","6,526,258","5,764",,,,,,Europe,,,,,,,
,,Oceania,,"9,227,492","+31,944","13,090",+50,"8,873,559","+5,882","340,843",135,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"541,118,116","+162,635","6,332,706",+312,"516,470,119","+257,051","18,315,291","36,154","69,420",812.4,,,,All,,,,,,,
87,Moldova,"519,234",,"11,554 ",,"504,142",,"3,538",49,"129,300","2,877","3,216,305","800,925","4,015,739 ",Europe,83481,,,881
88,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,861",232,"3,693,367","34,815","106,086,832 ",Africa,"2064,31029",,,460
89,Libya,"502,040",,"6,430 ",,"490,973",,"4,637",101,"71,181",912,"2,477,219","351,231","7,052,961 ",Africa,"141,0973",,,657
90,Cyprus,"491,777",,"1,067 ",,"124,370",,"366,340",60,"401,632",871,"9,477,138","7,739,927","1,224,448 ",Asia,"21,1480",,,"299,188"
91,Ethiopia,"479,484",,"7,517 ",,"456,866",,"15,101",35,"3,979",62,"4,988,019","41,395","120,499,230 ",Africa,"25116,03024",,,125
92,Honduras,"425,655",,"10,902 ",,"132,430",,"282,323",105,"41,686","1,068","1,387,113","135,847","10,210,881 ",North America,249377,,,"27,649"
93,Armenia,"423,006",,"8,629 ",,"412,661",,"1,716",,"142,234","2,901","3,109,931","1,045,703","2,974,010 ",Asia,73451,,,577
94,Réunion,"418,585",,796 ,,"415,360",,"2,429",10,"461,131",877,"1,603,660","1,766,661","907,735 ",Africa,"21,1401",,,"2,676"
95,Oman,"389,758",,"4,260 ",,"384,669",,829,2,"72,728",795,"25,000,000","4,664,971","5,359,090 ",Asia,"141,2580",,,155
96,Bosnia and Herzegovina,"378,112",,"15,793  ",,N/A,N/A,N/A,,"116,660","4,873","1,782,950","550,096","3,241,159 ",Europe,92052,,,"52,482"
97,Qatar,"372,704",,677 ,,"369,363",,"2,664",,"132,739",241,"3,590,034","1,278,591","2,807,805 ",Asia,"84,1471",,,949
98,Kenya,"327,145",,"5,651 ",,"319,669",,"1,825",,"5,834",101,"3,703,840","66,053","56,073,862 ",Africa,"1719,92315",,,33
99,Zambia,"323,283",,"3,989 ",,"318,247",,"1,047",,"16,677",206,"3,507,848","180,959","19,384,745 ",Africa,"604,8606",,,54
